latitude,longitude,elevation_m
43.6600004,-79.3960005,112.0000000
43.6600004,-79.3960004,112.0000000
43.6600004,-79.3960002,112.0000000
43.6600004,-79.3960001,112.0000000
43.6600004,-79.3960000,112.0000000
43.6600004,-79.3959999,112.0000000
43.6600004,-79.3959998,112.0000000
43.6600004,-79.3959996,112.0000000
43.6600004,-79.3959995,112.0000000
43.6600004,-79.3959994,112.0000000
43.6600004,-79.3959993,112.0000000
43.6600004,-79.3959991,112.0000000
43.6600004,-79.3959990,112.0000000
43.6600004,-79.3959989,112.0000000
43.6600004,-79.3959988,112.0000000
43.6600004,-79.3959986,112.0000000
43.6600004,-79.3959985,112.0000000
43.6600004,-79.3959984,112.0000000
43.6600004,-79.3959983,112.0000000
43.6600004,-79.3959981,112.0000000
43.6600004,-79.3959980,112.0000000
43.6600004,-79.3959979,112.0000000
43.6600004,-79.3959978,112.0000000
43.6600004,-79.3959976,112.0000000
43.6600004,-79.3959975,112.0000000
43.6600004,-79.3959974,112.0000000
43.6600004,-79.3959973,112.0000000
43.6600004,-79.3959971,112.0000000
43.6600004,-79.3959970,112.0000000
43.6600005,-79.3960031,112.0000000
43.6600005,-79.3960030,112.0000000
43.6600005,-79.3960029,112.0000000
43.6600005,-79.3960027,112.0000000
43.6600005,-79.3960026,112.0000000
43.6600005,-79.3960025,112.0000000
43.6600005,-79.3960024,112.0000000
43.6600005,-79.3960022,112.0000000
43.6600005,-79.3960021,112.0000000
43.6600005,-79.3960020,112.0000000
43.6600005,-79.3960019,112.0000000
43.6600005,-79.3960017,112.0000000
43.6600005,-79.3960016,112.0000000
43.6600005,-79.3960015,112.0000000
43.6600005,-79.3960014,112.0000000
43.6600005,-79.3960012,112.0000000
43.6600005,-79.3960011,112.0000000
43.6600005,-79.3960010,112.0000000
43.6600005,-79.3960009,112.0000000
43.6600005,-79.3960007,112.0000000
43.6600005,-79.3960006,112.0000000
43.6600005,-79.3960005,112.0000000
43.6600005,-79.3960004,112.0000000
43.6600005,-79.3960002,112.0000000
43.6600005,-79.3960001,112.0000000
43.6600005,-79.3960000,112.0000000
43.6600005,-79.3959999,112.0000000
43.6600005,-79.3959998,112.0000000
43.6600005,-79.3959996,112.0000000
43.6600005,-79.3959995,112.0000000
43.6600005,-79.3959994,112.0000000
43.6600005,-79.3959993,112.0000000
43.6600005,-79.3959991,112.0000000
43.6600005,-79.3959990,112.0000000
43.6600005,-79.3959989,112.0000000
43.6600005,-79.3959988,112.0000000
43.6600005,-79.3959986,112.0000000
43.6600005,-79.3959985,112.0000000
43.6600005,-79.3959984,112.0000000
43.6600005,-79.3959983,112.0000000
43.6600005,-79.3959981,112.0000000
43.6600005,-79.3959980,112.0000000
43.6600005,-79.3959979,112.0000000
43.6600005,-79.3959978,112.0000000
43.6600005,-79.3959976,112.0000000
43.6600005,-79.3959975,112.0000000
43.6600005,-79.3959974,112.0000000
43.6600005,-79.3959973,112.0000000
43.6600005,-79.3959971,112.0000000
43.6600005,-79.3959970,112.0000000
43.6600005,-79.3960031,112.0000000
43.6600005,-79.3960030,112.0000000
43.6600005,-79.3960029,112.0000000
43.6600005,-79.3960027,112.0000000
43.6600005,-79.3960026,112.0000000
43.6600005,-79.3960025,112.0000000
43.6600005,-79.3960024,112.0000000
43.6600005,-79.3960022,112.0000000
43.6600005,-79.3960021,112.0000000
43.6600005,-79.3960020,112.0000000
43.6600005,-79.3960019,112.0000000
43.6600005,-79.3960017,112.0000000
43.6600005,-79.3960016,112.0000000
43.6600005,-79.3960015,112.0000000
43.6600005,-79.3960014,112.0000000
43.6600005,-79.3960012,112.0000000
43.6600005,-79.3960011,112.0000000
43.6600005,-79.3960010,112.0000000
43.6600005,-79.3960009,112.0000000
43.6600005,-79.3960007,112.0000000
43.6600005,-79.3960006,112.0000000
43.6600005,-79.3960005,112.0000000
43.6600005,-79.3960004,112.0000000
43.6600005,-79.3960002,112.0000000
43.6600005,-79.3960001,112.0000000
43.6600005,-79.3960000,112.0000000
43.6600005,-79.3959999,112.0000000
43.6600005,-79.3959998,112.0000000
43.6600005,-79.3959996,112.0000000
43.6600005,-79.3959995,112.0000000
43.6600005,-79.3959994,112.0000000
43.6600005,-79.3959993,112.0000000
43.6600005,-79.3959991,112.0000000
43.6600005,-79.3959990,112.0000000
43.6600005,-79.3959989,112.0000000
43.6600005,-79.3959988,112.0000000
43.6600005,-79.3959986,112.0000000
43.6600005,-79.3959985,112.0000000
43.6600005,-79.3959984,112.0000000
43.6600005,-79.3959983,112.0000000
43.6600005,-79.3959981,112.0000000
43.6600005,-79.3959980,112.0000000
43.6600005,-79.3959979,112.0000000
43.6600005,-79.3959978,112.0000000
43.6600005,-79.3959976,112.0000000
43.6600005,-79.3959975,112.0000000
43.6600005,-79.3959974,112.0000000
43.6600005,-79.3959973,112.0000000
43.6600005,-79.3959971,112.0000000
43.6600005,-79.3959970,112.0000000
43.6600006,-79.3960031,112.0000000
43.6600006,-79.3960030,112.0000000
43.6600006,-79.3960029,112.0000000
43.6600006,-79.3960027,112.0000000
43.6600006,-79.3960026,112.0000000
43.6600006,-79.3960025,112.0000000
43.6600006,-79.3960024,112.0000000
43.6600006,-79.3960022,112.0000000
43.6600006,-79.3960021,112.0000000
43.6600006,-79.3960020,112.0000000
43.6600006,-79.3960019,112.0000000
43.6600006,-79.3960017,112.0000000
43.6600006,-79.3960016,112.0000000
43.6600006,-79.3960015,112.0000000
43.6600006,-79.3960014,112.0000000
43.6600006,-79.3960012,112.0000000
43.6600006,-79.3960011,112.0000000
43.6600006,-79.3960010,112.0000000
43.6600006,-79.3960009,112.0000000
43.6600006,-79.3960007,112.0000000
43.6600006,-79.3960006,112.0000000
43.6600006,-79.3960005,112.0000000
43.6600006,-79.3960004,112.0000000
43.6600006,-79.3960002,112.0000000
43.6600006,-79.3960001,112.0000000
43.6600006,-79.3960000,112.0000000
43.6600006,-79.3959999,112.0000000
43.6600006,-79.3959998,112.0000000
43.6600006,-79.3959996,112.0000000
43.6600006,-79.3959995,112.0000000
43.6600006,-79.3959994,112.0000000
43.6600006,-79.3959993,112.0000000
43.6600006,-79.3959991,112.0000000
43.6600006,-79.3959990,112.0000000
43.6600006,-79.3959989,112.0000000
43.6600006,-79.3959988,112.0000000
43.6600006,-79.3959986,112.0000000
43.6600006,-79.3959985,112.0000000
43.6600006,-79.3959984,112.0000000
43.6600006,-79.3959983,112.0000000
43.6600006,-79.3959981,112.0000000
43.6600006,-79.3959980,112.0000000
43.6600006,-79.3959979,112.0000000
43.6600006,-79.3959978,112.0000000
43.6600006,-79.3959976,112.0000000
43.6600006,-79.3959975,112.0000000
43.6600006,-79.3959974,112.0000000
43.6600006,-79.3959973,112.0000000
43.6600006,-79.3959971,112.0000000
43.6600006,-79.3959970,112.0000000
43.6600007,-79.3960031,112.0000000
43.6600007,-79.3960030,112.0000000
43.6600007,-79.3960029,112.0000000
43.6600007,-79.3960027,112.0000000
43.6600007,-79.3960026,112.0000000
43.6600007,-79.3960025,112.0000000
43.6600007,-79.3960024,112.0000000
43.6600007,-79.3960022,112.0000000
43.6600007,-79.3960021,112.0000000
43.6600007,-79.3960020,112.0000000
43.6600007,-79.3960019,112.0000000
43.6600007,-79.3960017,112.0000000
43.6600007,-79.3960016,112.0000000
43.6600007,-79.3960015,112.0000000
43.6600007,-79.3960014,112.0000000
43.6600007,-79.3960012,112.0000000
43.6600007,-79.3960011,112.0000000
43.6600007,-79.3960010,112.0000000
43.6600007,-79.3960009,112.0000000
43.6600007,-79.3960007,112.0000000
43.6600007,-79.3960006,112.0000000
43.6600007,-79.3960005,112.0000000
43.6600007,-79.3960004,112.0000000
43.6600007,-79.3960002,112.0000000
43.6600007,-79.3960001,112.0000000
43.6600007,-79.3960000,112.0000000
43.6600007,-79.3959999,112.0000000
43.6600007,-79.3959998,112.0000000
43.6600007,-79.3959996,112.0000000
43.6600007,-79.3959995,112.0000000
43.6600007,-79.3959994,112.0000000
43.6600007,-79.3959993,112.0000000
43.6600007,-79.3959991,112.0000000
43.6600007,-79.3959990,112.0000000
43.6600007,-79.3959989,112.0000000
43.6600007,-79.3959988,112.0000000
43.6600007,-79.3959986,112.0000000
43.6600007,-79.3959985,112.0000000
43.6600007,-79.3959984,112.0000000
43.6600007,-79.3959983,112.0000000
43.6600007,-79.3959981,112.0000000
43.6600007,-79.3959980,112.0000000
43.6600007,-79.3959979,112.0000000
43.6600007,-79.3959978,112.0000000
43.6600007,-79.3959976,112.0000000
43.6600007,-79.3959975,112.0000000
43.6600007,-79.3959974,112.0000000
43.6600007,-79.3959973,112.0000000
43.6600007,-79.3959971,112.0000000
43.6600007,-79.3959970,112.0000000
43.6600008,-79.3960031,112.0000000
43.6600008,-79.3960030,112.0000000
43.6600008,-79.3960029,112.0000000
43.6600008,-79.3960027,112.0000000
43.6600008,-79.3960026,112.0000000
43.6600008,-79.3960025,112.0000000
43.6600008,-79.3960024,112.0000000
43.6600008,-79.3960022,112.0000000
43.6600008,-79.3960021,112.0000000
43.6600008,-79.3960020,112.0000000
43.6600008,-79.3960019,112.0000000
43.6600008,-79.3960017,112.0000000
43.6600008,-79.3960016,112.0000000
43.6600008,-79.3960015,112.0000000
43.6600008,-79.3960014,112.0000000
43.6600008,-79.3960012,112.0000000
43.6600008,-79.3960011,112.0000000
43.6600008,-79.3960010,112.0000000
43.6600008,-79.3960009,112.0000000
43.6600008,-79.3960007,112.0000000
43.6600008,-79.3960006,112.0000000
43.6600008,-79.3960005,112.0000000
43.6600008,-79.3960004,112.0000000
43.6600008,-79.3960002,112.0000000
43.6600008,-79.3960001,112.0000000
43.6600008,-79.3960000,112.0000000
43.6600008,-79.3959999,112.0000000
43.6600008,-79.3959998,112.0000000
43.6600008,-79.3959996,112.0000000
43.6600008,-79.3959995,112.0000000
43.6600008,-79.3959994,112.0000000
43.6600008,-79.3959993,112.0000000
43.6600008,-79.3959991,112.0000000
43.6600008,-79.3959990,112.0000000
43.6600008,-79.3959989,112.0000000
43.6600008,-79.3959988,112.0000000
43.6600008,-79.3959986,112.0000000
43.6600008,-79.3959985,112.0000000
43.6600008,-79.3959984,112.0000000
43.6600008,-79.3959983,112.0000000
43.6600008,-79.3959981,112.0000000
43.6600008,-79.3959980,112.0000000
43.6600008,-79.3959979,112.0000000
43.6600008,-79.3959978,112.0000000
43.6600008,-79.3959976,112.0000000
43.6600008,-79.3959975,112.0000000
43.6600008,-79.3959974,112.0000000
43.6600008,-79.3959973,112.0000000
43.6600008,-79.3959971,112.0000000
43.6600008,-79.3959970,112.0000000
43.6600009,-79.3960031,112.0000000
43.6600009,-79.3960030,112.0000000
43.6600009,-79.3960029,112.0000000
43.6600009,-79.3960027,112.0000000
43.6600009,-79.3960026,112.0000000
43.6600009,-79.3960025,112.0000000
43.6600009,-79.3960024,112.0000000
43.6600009,-79.3960022,112.0000000
43.6600009,-79.3960021,112.0000000
43.6600009,-79.3960020,112.0000000
43.6600009,-79.3960019,112.0000000
43.6600009,-79.3960017,112.0000000
43.6600009,-79.3960016,112.0000000
43.6600009,-79.3960015,112.0000000
43.6600009,-79.3960014,112.0000000
43.6600009,-79.3960012,112.0000000
43.6600009,-79.3960011,112.0000000
43.6600009,-79.3960010,112.0000000
43.6600009,-79.3960009,112.0000000
43.6600009,-79.3960007,112.0000000
43.6600009,-79.3960006,112.0000000
43.6600009,-79.3960005,112.0000000
43.6600009,-79.3960004,112.0000000
43.6600009,-79.3960002,112.0000000
43.6600009,-79.3960001,112.0000000
43.6600009,-79.3960000,112.0000000
43.6600009,-79.3959999,112.0000000
43.6600009,-79.3959998,112.0000000
43.6600009,-79.3959996,112.0000000
43.6600009,-79.3959995,112.0000000
43.6600009,-79.3959994,112.0000000
43.6600009,-79.3959993,112.0000000
43.6600009,-79.3959991,112.0000000
43.6600009,-79.3959990,112.0000000
43.6600009,-79.3959989,112.0000000
43.6600009,-79.3959988,112.0000000
43.6600009,-79.3959986,112.0000000
43.6600009,-79.3959985,112.0000000
43.6600009,-79.3959984,112.0000000
43.6600009,-79.3959983,112.0000000
43.6600009,-79.3959981,112.0000000
43.6600009,-79.3959980,112.0000000
43.6600009,-79.3959979,112.0000000
43.6600009,-79.3959978,112.0000000
43.6600009,-79.3959976,112.0000000
43.6600009,-79.3959975,112.0000000
43.6600009,-79.3959974,112.0000000
43.6600009,-79.3959973,112.0000000
43.6600009,-79.3959971,112.0000000
43.6600009,-79.3959970,112.0000000
43.6600010,-79.3960031,112.0000000
43.6600010,-79.3960030,112.0000000
43.6600010,-79.3960029,112.0000000
43.6600010,-79.3960027,112.0000000
43.6600010,-79.3960026,112.0000000
43.6600010,-79.3960025,112.0000000
43.6600010,-79.3960024,112.0000000
43.6600010,-79.3960022,112.0000000
43.6600010,-79.3960021,112.0000000
43.6600010,-79.3960020,112.0000000
43.6600010,-79.3960019,112.0000000
43.6600010,-79.3960017,112.0000000
43.6600010,-79.3960016,112.0000000
43.6600010,-79.3960015,112.0000000
43.6600010,-79.3960014,112.0000000
43.6600010,-79.3960012,112.0000000
43.6600010,-79.3960011,112.0000000
43.6600010,-79.3960010,112.0000000
43.6600010,-79.3960009,112.0000000
43.6600010,-79.3960007,112.0000000
43.6600010,-79.3960006,112.0000000
43.6600010,-79.3960005,112.0000000
43.6600010,-79.3960004,112.0000000
43.6600010,-79.3960002,112.0000000
43.6600010,-79.3960001,112.0000000
43.6600010,-79.3960000,112.0000000
43.6600010,-79.3959999,112.0000000
43.6600010,-79.3959998,112.0000000
43.6600010,-79.3959996,112.0000000
43.6600010,-79.3959995,112.0000000
43.6600010,-79.3959994,112.0000000
43.6600010,-79.3959993,112.0000000
43.6600010,-79.3959991,112.0000000
43.6600010,-79.3959990,112.0000000
43.6600010,-79.3959989,112.0000000
43.6600010,-79.3959988,112.0000000
43.6600010,-79.3959986,112.0000000
43.6600010,-79.3959985,112.0000000
43.6600010,-79.3959984,112.0000000
43.6600010,-79.3959983,112.0000000
43.6600010,-79.3959981,112.0000000
43.6600010,-79.3959980,112.0000000
43.6600010,-79.3959979,112.0000000
43.6600010,-79.3959978,112.0000000
43.6600010,-79.3959976,112.0000000
43.6600010,-79.3959975,112.0000000
43.6600010,-79.3959974,112.0000000
43.6600010,-79.3959973,112.0000000
43.6600010,-79.3959971,112.0000000
43.6600010,-79.3959970,112.0000000
43.6600011,-79.3960031,112.0000000
43.6600011,-79.3960030,112.0000000
43.6600011,-79.3960029,112.0000000
43.6600011,-79.3960027,112.0000000
43.6600011,-79.3960026,112.0000000
43.6600011,-79.3960025,112.0000000
43.6600011,-79.3960024,112.0000000
43.6600011,-79.3960022,112.0000000
43.6600011,-79.3960021,112.0000000
43.6600011,-79.3960020,112.0000000
43.6600011,-79.3960019,112.0000000
43.6600011,-79.3960017,112.0000000
43.6600011,-79.3960016,112.0000000
43.6600011,-79.3960015,112.0000000
43.6600011,-79.3960014,112.0000000
43.6600011,-79.3960012,112.0000000
43.6600011,-79.3960011,112.0000000
43.6600011,-79.3960010,112.0000000
43.6600011,-79.3960009,112.0000000
43.6600011,-79.3960007,112.0000000
43.6600011,-79.3960006,112.0000000
43.6600011,-79.3960005,112.0000000
43.6600011,-79.3960004,112.0000000
43.6600011,-79.3960002,112.0000000
43.6600011,-79.3960001,112.0000000
43.6600011,-79.3960000,112.0000000
43.6600011,-79.3959999,112.0000000
43.6600011,-79.3959998,112.0000000
43.6600011,-79.3959996,112.0000000
43.6600011,-79.3959995,112.0000000
43.6600011,-79.3959994,112.0000000
43.6600011,-79.3959993,112.0000000
43.6600011,-79.3959991,112.0000000
43.6600011,-79.3959990,112.0000000
43.6600011,-79.3959989,112.0000000
43.6600011,-79.3959988,112.0000000
43.6600011,-79.3959986,112.0000000
43.6600011,-79.3959985,112.0000000
43.6600011,-79.3959984,112.0000000
43.6600011,-79.3959983,112.0000000
43.6600011,-79.3959981,112.0000000
43.6600011,-79.3959980,112.0000000
43.6600011,-79.3959979,112.0000000
43.6600011,-79.3959978,112.0000000
43.6600011,-79.3959976,112.0000000
43.6600011,-79.3959975,112.0000000
43.6600011,-79.3959974,112.0000000
43.6600011,-79.3959973,112.0000000
43.6600011,-79.3959971,112.0000000
43.6600011,-79.3959970,112.0000000
43.6600012,-79.3960031,112.0000000
43.6600012,-79.3960030,112.0000000
43.6600012,-79.3960029,112.0000000
43.6600012,-79.3960027,112.0000000
43.6600012,-79.3960026,112.0000000
43.6600012,-79.3960025,112.0000000
43.6600012,-79.3960024,112.0000000
43.6600012,-79.3960022,112.0000000
43.6600012,-79.3960021,112.0000000
43.6600012,-79.3960020,112.0000000
43.6600012,-79.3960019,112.0000000
43.6600012,-79.3960017,112.0000000
43.6600012,-79.3960016,112.0000000
43.6600012,-79.3960015,112.0000000
43.6600012,-79.3960014,112.0000000
43.6600012,-79.3960012,112.0000000
43.6600012,-79.3960011,112.0000000
43.6600012,-79.3960010,112.0000000
43.6600012,-79.3960009,112.0000000
43.6600012,-79.3960007,112.0000000
43.6600012,-79.3960006,112.0000000
43.6600012,-79.3960005,112.0000000
43.6600012,-79.3960004,112.0000000
43.6600012,-79.3960002,112.0000000
43.6600012,-79.3960001,112.0000000
43.6600012,-79.3960000,112.0000000
43.6600012,-79.3959999,112.0000000
43.6600012,-79.3959998,112.0000000
43.6600012,-79.3959996,112.0000000
43.6600012,-79.3959995,112.0000000
43.6600012,-79.3959994,112.0000000
43.6600012,-79.3959993,112.0000000
43.6600012,-79.3959991,112.0000000
43.6600012,-79.3959990,112.0000000
43.6600012,-79.3959989,112.0000000
43.6600012,-79.3959988,112.0000000
43.6600012,-79.3959986,112.0000000
43.6600012,-79.3959985,112.0000000
43.6600012,-79.3959984,112.0000000
43.6600012,-79.3959983,112.0000000
43.6600012,-79.3959981,112.0000000
43.6600012,-79.3959980,112.0000000
43.6600012,-79.3959979,112.0000000
43.6600012,-79.3959978,112.0000000
43.6600012,-79.3959976,112.0000000
43.6600012,-79.3959975,112.0000000
43.6600012,-79.3959974,112.0000000
43.6600012,-79.3959973,112.0000000
43.6600012,-79.3959971,112.0000000
43.6600012,-79.3959970,112.0000000
43.6600013,-79.3960031,112.0000000
43.6600013,-79.3960030,112.0000000
43.6600013,-79.3960029,112.0000000
43.6600013,-79.3960027,112.0000000
43.6600013,-79.3960026,112.0000000
43.6600013,-79.3960025,112.0000000
43.6600013,-79.3960024,112.0000000
43.6600013,-79.3960022,112.0000000
43.6600013,-79.3960021,112.0000000
43.6600013,-79.3960020,112.0000000
43.6600013,-79.3960019,112.0000000
43.6600013,-79.3960017,112.0000000
43.6600013,-79.3960016,112.0000000
43.6600013,-79.3960015,112.0000000
43.6600013,-79.3960014,112.0000000
43.6600013,-79.3960012,112.0000000
43.6600013,-79.3960011,112.0000000
43.6600013,-79.3960010,112.0000000
43.6600013,-79.3960009,112.0000000
43.6600013,-79.3960007,112.0000000
43.6600013,-79.3960006,112.0000000
43.6600013,-79.3960005,112.0000000
43.6600013,-79.3960004,112.0000000
43.6600013,-79.3960002,112.0000000
43.6600013,-79.3960001,112.0000000
43.6600013,-79.3960000,112.0000000
43.6600013,-79.3959999,112.0000000
43.6600013,-79.3959998,112.0000000
43.6600013,-79.3959996,112.0000000
43.6600013,-79.3959995,112.0000000
43.6600013,-79.3959994,112.0000000
43.6600013,-79.3959993,112.0000000
43.6600013,-79.3959991,112.0000000
43.6600013,-79.3959990,112.0000000
43.6600013,-79.3959989,112.0000000
43.6600013,-79.3959988,112.0000000
43.6600013,-79.3959986,112.0000000
43.6600013,-79.3959985,112.0000000
43.6600013,-79.3959984,112.0000000
43.6600013,-79.3959983,112.0000000
43.6600013,-79.3959981,112.0000000
43.6600013,-79.3959980,112.0000000
43.6600013,-79.3959979,112.0000000
43.6600013,-79.3959978,112.0000000
43.6600013,-79.3959976,112.0000000
43.6600013,-79.3959975,112.0000000
43.6600013,-79.3959974,112.0000000
43.6600013,-79.3959973,112.0000000
43.6600013,-79.3959971,112.0000000
43.6600013,-79.3959970,112.0000000
43.6600014,-79.3960031,112.0000000
43.6600014,-79.3960030,112.0000000
43.6600014,-79.3960029,112.0000000
43.6600014,-79.3960027,112.0000000
43.6600014,-79.3960026,112.0000000
43.6600014,-79.3960025,112.0000000
43.6600014,-79.3960024,112.0000000
43.6600014,-79.3960022,112.0000000
43.6600014,-79.3960021,112.0000000
43.6600014,-79.3960020,112.0000000
43.6600014,-79.3960019,112.0000000
43.6600014,-79.3960017,112.0000000
43.6600014,-79.3960016,112.0000000
43.6600014,-79.3960015,112.0000000
43.6600014,-79.3960014,112.0000000
43.6600014,-79.3960012,112.0000000
43.6600014,-79.3960011,112.0000000
43.6600014,-79.3960010,112.0000000
43.6600014,-79.3960009,112.0000000
43.6600014,-79.3960007,112.0000000
43.6600014,-79.3960006,112.0000000
43.6600014,-79.3960005,112.0000000
43.6600014,-79.3960004,112.0000000
43.6600014,-79.3960002,112.0000000
43.6600014,-79.3960001,112.0000000
43.6600014,-79.3960000,112.0000000
43.6600014,-79.3959999,112.0000000
43.6600014,-79.3959998,112.0000000
43.6600014,-79.3959996,112.0000000
43.6600014,-79.3959995,112.0000000
43.6600014,-79.3959994,112.0000000
43.6600014,-79.3959993,112.0000000
43.6600014,-79.3959991,112.0000000
43.6600014,-79.3959990,112.0000000
43.6600014,-79.3959989,112.0000000
43.6600014,-79.3959988,112.0000000
43.6600014,-79.3959986,112.0000000
43.6600014,-79.3959985,112.0000000
43.6600014,-79.3959984,112.0000000
43.6600014,-79.3959983,112.0000000
43.6600014,-79.3959981,112.0000000
43.6600014,-79.3959980,112.0000000
43.6600014,-79.3959979,112.0000000
43.6600014,-79.3959978,112.0000000
43.6600014,-79.3959976,112.0000000
43.6600014,-79.3959975,112.0000000
43.6600014,-79.3959974,112.0000000
43.6600014,-79.3959973,112.0000000
43.6600014,-79.3959971,112.0000000
43.6600014,-79.3959970,112.0000000
43.6600014,-79.3960031,112.0000000
43.6600014,-79.3960030,112.0000000
43.6600014,-79.3960029,112.0000000
43.6600014,-79.3960027,112.0000000
43.6600014,-79.3960026,112.0000000
43.6600014,-79.3960025,112.0000000
43.6600014,-79.3960024,112.0000000
43.6600014,-79.3960022,112.0000000
43.6600014,-79.3960021,112.0000000
43.6600014,-79.3960020,112.0000000
43.6600014,-79.3960019,112.0000000
43.6600014,-79.3960017,112.0000000
43.6600014,-79.3960016,112.0000000
43.6600014,-79.3960015,112.0000000
43.6600014,-79.3960014,112.0000000
43.6600014,-79.3960012,112.0000000
43.6600014,-79.3960011,112.0000000
43.6600014,-79.3960010,112.0000000
43.6600014,-79.3960009,112.0000000
43.6600014,-79.3960007,112.0000000
43.6600014,-79.3960006,112.0000000
43.6600014,-79.3960005,112.0000000
43.6600014,-79.3960004,112.0000000
43.6600014,-79.3960002,112.0000000
43.6600014,-79.3960001,112.0000000
43.6600014,-79.3960000,112.0000000
43.6600014,-79.3959999,112.0000000
43.6600014,-79.3959998,112.0000000
43.6600014,-79.3959996,112.0000000
43.6600014,-79.3959995,112.0000000
43.6600014,-79.3959994,112.0000000
43.6600014,-79.3959993,112.0000000
43.6600014,-79.3959991,112.0000000
43.6600014,-79.3959990,112.0000000
43.6600014,-79.3959989,112.0000000
43.6600014,-79.3959988,112.0000000
43.6600014,-79.3959986,112.0000000
43.6600014,-79.3959985,112.0000000
43.6600014,-79.3959984,112.0000000
43.6600014,-79.3959983,112.0000000
43.6600014,-79.3959981,112.0000000
43.6600014,-79.3959980,112.0000000
43.6600014,-79.3959979,112.0000000
43.6600014,-79.3959978,112.0000000
43.6600014,-79.3959976,112.0000000
43.6600014,-79.3959975,112.0000000
43.6600014,-79.3959974,112.0000000
43.6600014,-79.3959973,112.0000000
43.6600014,-79.3959971,112.0000000
43.6600014,-79.3959970,112.0000000
43.6600015,-79.3960031,112.0000000
43.6600015,-79.3960030,112.0000000
43.6600015,-79.3960029,112.0000000
43.6600015,-79.3960027,112.0000000
43.6600015,-79.3960026,112.0000000
43.6600015,-79.3960025,112.0000000
43.6600015,-79.3960024,112.0000000
43.6600015,-79.3960022,112.0000000
43.6600015,-79.3960021,112.0000000
43.6600015,-79.3960020,112.0000000
43.6600015,-79.3960019,112.0000000
43.6600015,-79.3960017,112.0000000
43.6600015,-79.3960016,112.0000000
43.6600015,-79.3960015,112.0000000
43.6600015,-79.3960014,112.0000000
43.6600015,-79.3960012,112.0000000
43.6600015,-79.3960011,112.0000000
43.6600015,-79.3960010,112.0000000
43.6600015,-79.3960009,112.0000000
43.6600015,-79.3960007,112.0000000
43.6600015,-79.3960006,112.0000000
43.6600015,-79.3960005,112.0000000
43.6600015,-79.3960004,112.0000000
43.6600015,-79.3960002,112.0000000
43.6600015,-79.3960001,112.0000000
43.6600015,-79.3960000,112.0000000
43.6600015,-79.3959999,112.0000000
43.6600015,-79.3959998,112.0000000
43.6600015,-79.3959996,112.0000000
43.6600015,-79.3959995,112.0000000
43.6600015,-79.3959994,112.0000000
43.6600015,-79.3959993,112.0000000
43.6600015,-79.3959991,112.0000000
43.6600015,-79.3959990,112.0000000
43.6600015,-79.3959989,112.0000000
43.6600015,-79.3959988,112.0000000
43.6600015,-79.3959986,112.0000000
43.6600015,-79.3959985,112.0000000
43.6600015,-79.3959984,112.0000000
43.6600015,-79.3959983,112.0000000
43.6600015,-79.3959981,112.0000000
43.6600015,-79.3959980,112.0000000
43.6600015,-79.3959979,112.0000000
43.6600015,-79.3959978,112.0000000
43.6600015,-79.3959976,112.0000000
43.6600015,-79.3959975,112.0000000
43.6600015,-79.3959974,112.0000000
43.6600015,-79.3959973,112.0000000
43.6600015,-79.3959971,112.0000000
43.6600015,-79.3959970,112.0000000
43.6600016,-79.3960031,112.0000000
43.6600016,-79.3960030,112.0000000
43.6600016,-79.3960029,112.0000000
43.6600016,-79.3960027,112.0000000
43.6600016,-79.3960026,112.0000000
43.6600016,-79.3960025,112.0000000
43.6600016,-79.3960024,112.0000000
43.6600016,-79.3960022,112.0000000
43.6600016,-79.3960021,112.0000000
43.6600016,-79.3960020,112.0000000
43.6600016,-79.3960019,112.0000000
43.6600016,-79.3960017,112.0000000
43.6600016,-79.3960016,112.0000000
43.6600016,-79.3960015,112.0000000
43.6600016,-79.3960014,112.0000000
43.6600016,-79.3960012,112.0000000
43.6600016,-79.3960011,112.0000000
43.6600016,-79.3960010,112.0000000
43.6600016,-79.3960009,112.0000000
43.6600016,-79.3960007,112.0000000
43.6600016,-79.3960006,112.0000000
43.6600016,-79.3960005,112.0000000
43.6600016,-79.3960004,112.0000000
43.6600016,-79.3960002,112.0000000
43.6600016,-79.3960001,112.0000000
43.6600016,-79.3960000,112.0000000
43.6600016,-79.3959999,112.0000000
43.6600016,-79.3959998,112.0000000
43.6600016,-79.3959996,112.0000000
43.6600016,-79.3959995,112.0000000
43.6600016,-79.3959994,112.0000000
43.6600016,-79.3959993,112.0000000
43.6600016,-79.3959991,112.0000000
43.6600016,-79.3959990,112.0000000
43.6600016,-79.3959989,112.0000000
43.6600016,-79.3959988,112.0000000
43.6600016,-79.3959986,112.0000000
43.6600016,-79.3959985,112.0000000
43.6600016,-79.3959984,112.0000000
43.6600016,-79.3959983,112.0000000
43.6600016,-79.3959981,112.0000000
43.6600016,-79.3959980,112.0000000
43.6600016,-79.3959979,112.0000000
43.6600016,-79.3959978,112.0000000
43.6600016,-79.3959976,112.0000000
43.6600016,-79.3959975,112.0000000
43.6600016,-79.3959974,112.0000000
43.6600016,-79.3959973,112.0000000
43.6600016,-79.3959971,112.0000000
43.6600016,-79.3959970,112.0000000
43.6600017,-79.3960031,112.0000000
43.6600017,-79.3960030,112.0000000
43.6600017,-79.3960029,112.0000000
43.6600017,-79.3960027,112.0000000
43.6600017,-79.3960026,112.0000000
43.6600017,-79.3960025,112.0000000
43.6600017,-79.3960024,112.0000000
